,0,1,2
0,None,09:00:00,Tuesday
1,None,10:00:00,Tuesday
2,None,11:00:00,Tuesday
3,None,12:00:00,Tuesday
4,None,13:00:00,Tuesday
5,None,14:00:00,Tuesday
6,None,15:00:00,Tuesday
7,None,16:00:00,Tuesday
8,None,17:00:00,Tuesday
9,None,18:00:00,Tuesday
10,None,19:00:00,Tuesday
11,None,20:00:00,Tuesday
12,None,21:00:00,Tuesday
13,None,22:00:00,Tuesday
14,None,23:00:00,Tuesday
15,None,00:00:00,Wednesday
16,None,01:00:00,Wednesday
17,None,02:00:00,Wednesday
18,None,03:00:00,Wednesday
19,None,04:00:00,Wednesday
20,None,05:00:00,Wednesday
21,None,06:00:00,Wednesday
22,None,08:00:00,Wednesday
23,None,09:00:00,Wednesday
24,None,12:00:00,Wednesday
25,None,13:00:00,Wednesday
26,None,14:00:00,Wednesday
27,None,15:00:00,Wednesday
28,None,16:00:00,Wednesday
29,None,18:00:00,Wednesday
30,None,19:00:00,Wednesday
31,None,20:00:00,Wednesday
32,None,21:00:00,Wednesday
33,None,22:00:00,Wednesday
34,None,23:00:00,Wednesday
35,None,00:00:00,Thursday
36,None,01:00:00,Thursday
37,None,02:00:00,Thursday
38,None,03:00:00,Thursday
39,None,04:00:00,Thursday
40,None,05:00:00,Thursday
41,None,06:00:00,Thursday
42,None,07:00:00,Thursday
43,None,08:00:00,Thursday
44,None,09:00:00,Thursday
45,None,10:00:00,Thursday
46,None,11:00:00,Thursday
47,None,12:00:00,Thursday
48,None,13:00:00,Thursday
49,None,14:00:00,Thursday
50,None,15:00:00,Thursday
51,None,16:00:00,Thursday
52,None,17:00:00,Thursday
53,None,18:00:00,Thursday
54,None,19:00:00,Thursday
55,None,20:00:00,Thursday
56,None,21:00:00,Thursday
57,None,22:00:00,Thursday
58,None,23:00:00,Thursday
59,None,00:00:00,Friday
60,None,01:00:00,Friday
61,None,03:00:00,Friday
62,None,05:00:00,Friday
63,None,06:00:00,Friday
64,None,07:00:00,Friday
65,None,08:00:00,Friday
66,None,09:00:00,Friday
67,None,10:00:00,Friday
68,None,11:00:00,Friday
69,None,12:00:00,Friday
70,None,13:00:00,Friday
71,None,14:00:00,Friday
72,None,15:00:00,Friday
73,None,16:00:00,Friday
74,None,17:00:00,Friday
75,None,18:00:00,Friday
76,None,19:00:00,Friday
77,None,20:00:00,Friday
78,None,21:00:00,Friday
79,None,22:00:00,Friday
80,None,23:00:00,Friday
81,None,00:00:00,Saturday
82,None,01:00:00,Saturday
83,None,02:00:00,Saturday
84,None,04:00:00,Saturday
85,None,05:00:00,Saturday
86,None,06:00:00,Saturday
87,None,07:00:00,Saturday
88,None,08:00:00,Saturday
89,None,09:00:00,Saturday
90,None,10:00:00,Saturday
91,None,11:00:00,Saturday
92,None,12:00:00,Saturday
93,None,13:00:00,Saturday
94,None,14:00:00,Saturday
95,None,15:00:00,Saturday
96,None,16:00:00,Saturday
97,None,17:00:00,Saturday
98,None,18:00:00,Saturday
99,None,19:00:00,Saturday
100,None,20:00:00,Saturday
101,None,21:00:00,Saturday
102,None,22:00:00,Saturday
103,None,23:00:00,Saturday
104,None,00:00:00,Sunday
105,None,03:00:00,Sunday
106,None,04:00:00,Sunday
107,None,05:00:00,Sunday
108,None,06:00:00,Sunday
109,None,07:00:00,Sunday
110,None,08:00:00,Sunday
111,None,09:00:00,Sunday
112,None,10:00:00,Sunday
113,None,11:00:00,Sunday
114,None,12:00:00,Sunday
115,None,13:00:00,Sunday
116,None,14:00:00,Sunday
117,None,15:00:00,Sunday
118,None,16:00:00,Sunday
119,None,17:00:00,Sunday
120,None,18:00:00,Sunday
121,None,19:00:00,Sunday
122,None,20:00:00,Sunday
123,None,21:00:00,Sunday
124,None,22:00:00,Sunday
125,None,23:00:00,Sunday
126,Columbus Day,00:00:00,Monday
127,None,01:00:00,Monday
128,None,02:00:00,Monday
129,None,03:00:00,Monday
130,None,04:00:00,Monday
131,None,05:00:00,Monday
132,None,06:00:00,Monday
133,None,07:00:00,Monday
134,None,08:00:00,Monday
135,None,09:00:00,Monday
136,None,10:00:00,Monday
137,None,11:00:00,Monday
138,None,12:00:00,Monday
139,None,13:00:00,Monday
140,None,14:00:00,Monday
141,None,15:00:00,Monday
142,None,16:00:00,Monday
143,None,17:00:00,Monday
144,None,18:00:00,Monday
145,None,19:00:00,Monday
146,None,20:00:00,Monday
147,None,21:00:00,Monday
148,None,22:00:00,Monday
149,None,23:00:00,Monday
150,None,00:00:00,Tuesday
151,None,01:00:00,Tuesday
152,None,02:00:00,Tuesday
153,None,04:00:00,Tuesday
154,None,05:00:00,Tuesday
155,None,06:00:00,Tuesday
156,None,07:00:00,Tuesday
157,None,08:00:00,Tuesday
158,None,09:00:00,Tuesday
