,0
0,5545
1,4516
2,4767
3,5026
4,4918
5,5181
6,5584
7,6015
8,5791
9,4770
10,3539
11,2784
12,2361
13,1529
14,963
15,506
16,321
17,273
18,367
19,814
20,2718
21,5673
22,6511
23,5471
24,5097
25,4887
26,5337
27,5692
28,6137
29,4623
30,3591
31,2898
32,2637
33,1777
34,1015
35,598
36,369
37,312
38,367
39,835
40,2726
41,5689
42,6990
43,5985
44,5309
45,4603
46,4884
47,5104
48,5178
49,5501
50,5713
51,6292
52,6057
53,4907
54,3503
55,3037
56,2822
57,1992
58,1166
59,627
60,388
61,368
62,2489
63,5537
64,6628
65,5534
66,5403
67,4770
68,5217
69,5870
70,5967
71,6108
72,6128
73,6069
74,6169
75,5384
76,4063
77,3364
78,2971
79,2450
80,1832
81,1231
82,718
83,545
84,411
85,688
86,1352
87,2072
88,3342
89,4258
90,4861
91,5191
92,5669
93,5074
94,5025
95,5153
96,5024
97,4779
98,4362
99,3860
100,3160
101,2992
102,3202
103,1941
104,1233
105,323
106,312
107,627
108,1508
109,1539
110,2232
111,4568
112,4624
113,4529
114,5139
115,6640
116,6589
117,4429
118,4329
119,3833
120,4015
121,3382
122,2815
123,2110
124,1555
125,959
126,455
127,336
128,265
129,314
130,779
131,2571
132,5563
133,6676
134,5966
135,4832
136,4395
137,4411
138,4648
139,4602
140,5125
141,5502
142,5979
143,5663
144,4259
145,3069
146,2378
147,2030
148,1400
149,917
150,515
151,302
152,251
153,798
154,2678
155,5733
156,6449
157,5765
158,5599
159,4534
160,4691
161,5067
162,5030
163,5300
164,5777
165,6349
166,6127
167,4460
168,3418
169,2775
170,2306
171,1846
172,947
173,494
174,332
175,261
176,361
177,5875
178,6793
179,6283
180,5680
181,4632
182,4887
183,5030
184,5067
185,5227
186,5610
187,6286
188,4775
189,3340
190,3013
191,2603
192,1910
193,1037
194,347
195,350
196,850
197,2791
198,5809
199,6798
200,6304
201,5291
202,4638
203,5557
204,5818
205,6272
206,5944
207,4949
208,3511
209,3039
210,2679
211,2094
212,1284
213,630
214,410
215,331
216,372
217,739
218,2561
219,5586
220,6992
221,5860
222,5230
223,4864
224,5146
225,5526
226,5383
227,5758
228,5889
229,6057
230,6028
231,5257
232,1897
233,1335
234,769
235,570
236,413
237,399
238,740
239,1420
240,2220
241,3479
242,4546
243,4579
244,4438
245,4623
246,4440
247,4495
248,4483
249,4591
250,4477
251,4221
252,3672
253,3015
254,2769
255,2875
256,1931
257,1309
258,870
259,654
260,364
261,262
262,505
263,861
264,1132
265,1797
266,2685
267,3370
268,3662
269,4076
270,4128
271,4358
272,4342
273,4234
274,4271
275,4080
276,3453
277,2718
278,2439
279,1819
280,1002
281,542
282,303
283,239
284,335
285,810
286,2606
287,5714
288,6798
289,6114
290,5094
291,4473
292,4529
293,4823
294,4872
295,5238
296,5584
297,6246
298,5957
299,4535
300,3234
301,2677
302,2077
303,1380
304,927
305,500
306,324
307,257
308,354
309,769
310,2769
311,5789
312,7055
313,6408
314,5254
315,4547
316,4784
317,5015
318,5057
319,5430
320,5813
321,6496
322,6429
323,5142
324,3311
325,2777
326,2331
327,1767
328,1093
329,554
330,333
331,267
332,358
333,777
334,2732
335,5637
336,5564
337,6274
338,5403
339,4680
340,4642
341,4979
342,4851
343,4291
344,4714
345,6723
346,6180
347,4843
348,3435
349,2921
350,2763
351,1930
352,1160
353,654
354,374
355,301
356,397
357,794
358,2564
359,5358
360,6441
361,5536
362,5256
363,4619
364,5107
365,5147
366,5283
367,5704
368,5887
369,6307
370,5953
371,4519
372,3427
373,2921
374,2649
375,2005
376,1177
377,699
378,436
379,353
380,399
381,720
382,2370
383,5162
384,5777
385,5235
386,4606
387,4328
388,4282
389,4489
390,4908
391,5620
392,5849
393,4945
394,4619
395,4479
396,3804
397,2908
398,2942
399,3077
400,2051
401,1270
402,773
403,589
404,432
405,401
406,759
407,1313
408,1824
409,2787
410,3713
411,3815
412,4339
413,4613
414,4507
415,4452
416,4636
417,4810
418,5125
419,4337
420,3644
421,3107
422,2929
423,2865
424,2340
425,1372
426,1928
427,4695
428,4335
429,1583
430,959
431,498
432,306
433,259
434,324
435,806
436,2622
437,5456
438,4324
439,4378
440,4639
441,4546
442,5006
443,5361
444,6101
445,5781
446,4272
447,3091
448,2434
449,1984
450,1383
451,959
452,511
453,346
454,253
455,349
456,807
457,2669
458,5210
459,6083
460,5790
461,5484
462,4407
463,4725
464,4826
465,4945
466,5065
467,5618
468,6094
469,5844
470,4649
471,3180
472,2963
473,2450
474,1613
475,1021
476,580
477,298
478,261
479,408
480,793
481,2643
482,5593
483,5722
484,5607
485,5492
486,4542
487,4720
488,4982
489,5032
490,5212
491,5661
492,5812
493,5855
494,4416
495,3118
496,2877
497,2498
498,1701
499,1028
500,578
501,354
502,272
503,370
504,809
505,2641
506,4957
507,6036
508,5309
509,4438
510,4723
511,4879
512,5062
513,5450
514,5888
515,6473
516,6488
517,5351
518,3500
519,2856
520,2587
521,1979
522,1284
523,665
524,432
525,326
526,380
527,705
528,2430
529,5426
530,6499
531,5856
532,5234
533,4695
534,5341
535,5943
536,5874
537,5879
538,6060
539,6348
540,5955
541,5341
542,4144
543,3249
544,3017
545,2765
546,1894
547,1159
548,822
549,641
550,411
551,468
552,723
553,1415
554,2191
555,3185
556,4076
557,4522
558,6012
559,5975
560,5307
561,4678
562,4405
563,4403
564,4311
565,4198
566,3475
567,3078
568,2931
569,2941
570,2240
571,1564
572,795
573,447
574,443
575,330
576,453
577,755
578,953
579,1650
580,2442
581,3230
582,3575
583,4139
584,3892
585,3989
586,4294
587,4521
588,4280
589,3945
590,3169
591,2772
592,2213
593,1570
594,1065
595,530
596,331
597,270
598,316
599,799
600,2513
601,5503
602,6642
603,6195
604,5246
605,4460
606,4580
607,4771
608,4836
609,5138
610,5606
611,6120
612,5985
613,4418
614,3089
615,2636
616,2117
617,1437
618,920
619,600
620,393
621,298
622,352
623,762
624,2519
625,5478
626,6728
627,5972
628,5280
629,4626
630,4947
631,5125
632,5130
633,5394
634,5837
635,6222
636,5992
637,4578
638,3246
639,2834
640,2578
641,1979
642,1326
643,541
644,346
645,265
646,338
647,765
648,2611
649,5577
650,6908
651,6079
652,5309
653,4567
654,4804
655,5041
656,5051
657,5274
658,5936
659,6128
660,5821
661,4040
662,2711
663,2690
664,2539
665,1925
666,1471
667,716
668,453
669,324
670,390
671,775
672,2572
673,5595
674,6852
675,5892
676,5327
677,4756
678,5073
679,5286
680,5189
681,5495
682,5713
683,6317
684,6306
685,4867
686,3501
687,3110
688,2727
689,1825
690,1222
691,611
692,441
693,331
694,365
695,708
696,2379
697,5236
698,6509
699,5723
700,5239
701,4723
702,5330
703,5403
704,5446
705,5669
706,6093
707,6323
708,5856
709,4987
710,3681
711,2902
712,2929
713,2728
714,1693
715,1166
716,724
717,568
718,343
719,383
720,703
721,1229
722,2057
723,3246
724,4390
725,4573
726,4269
727,4833
728,4442
729,4397
730,4314
731,4413
732,4125
733,4004
734,3404
735,2777
736,2579
737,2552
738,1952
739,2125
740,730
741,345
742,223
743,488
744,710
745,1165
746,2067
747,2911
748,3527
749,3765
750,4063
751,4043
752,4200
753,4105
754,4015
755,3620
756,3652
757,2837
758,2446
759,1950
760,1451
761,999
762,1720
763,1299
764,304
765,412
766,753
767,2562
768,5658
769,6877
770,5981
771,4999
772,4408
773,4575
774,4710
775,4648
776,4968
777,6124
778,6134
779,4265
780,2415
781,1963
782,1454
783,938
784,537
785,313
786,256
787,356
788,788
789,2565
790,5330
791,6181
792,6182
793,5720
794,4612
795,4666
796,5022
797,5490
798,5973
799,6201
800,5453
801,3921
802,2835
803,2450
804,2078
805,1671
806,1472
807,792
808,811
809,671
810,474
811,790
812,2619
813,5788
814,7088
815,6264
816,5230
817,4567
818,4769
819,5011
820,4889
821,5367
822,5678
823,6267
824,6057
825,4883
826,2927
827,2594
828,2347
829,1544
830,1219
831,783
832,357
833,286
834,396
835,791
836,2681
837,5614
838,6834
839,6280
840,5460
841,4670
842,5071
843,5246
844,5039
845,5411
846,5866
847,6556
848,6204
849,4688
850,3326
851,3229
852,2790
853,1946
854,1181
855,649
856,422
857,340
858,365
859,683
860,2471
861,5538
862,6880
863,5906
864,5234
865,4719
866,5304
867,5487
868,5532
869,5816
870,5958
871,6455
872,6154
873,5330
874,3540
875,3193
876,2948
877,2496
878,1707
879,1090
880,735
881,537
882,371
883,397
884,696
885,1301
886,1932
887,2952
888,3529
889,3837
890,4338
891,4762
892,4367
893,4369
894,4536
895,4520
896,4677
897,4025
898,3128
899,2905
900,2853
901,3288
902,2239
903,1381
904,922
905,626
906,331
907,304
908,462
909,793
910,1120
911,1797
912,2687
913,3961
914,4086
915,3710
916,3733
917,3666
918,4012
919,4169
920,3636
921,3390
922,2660
923,2173
924,1924
925,2863
926,1000
927,352
928,263
929,341
930,761
931,2467
932,5242
933,5390
934,2029
935,2096
936,2892
937,4245
938,4148
939,4362
940,4619
941,4755
942,5187
943,5186
944,3854
945,2641
946,2222
947,1943
948,1437
949,2409
950,905
951,367
952,290
953,317
954,775
955,2571
956,5541
957,6529
958,6242
959,5438
960,4656
961,4759
962,4943
963,4924
964,5409
965,5664
966,6436
967,6212
968,4324
969,2948
970,2604
971,2192
972,1563
973,1346
974,535
975,325
976,252
977,361
978,795
979,2620
980,5730
981,6792
982,6199
983,5216
984,4864
985,5477
986,5654
987,5761
988,6131
989,6415
990,7189
991,6968
992,5182
993,3536
994,3052
995,2665
996,2044
997,1841
998,575
999,325
1000,294
1001,371
1002,817
1003,2657
1004,5814
1005,6761
1006,6171
1007,5387
1008,4704
1009,4811
1010,5115
1011,5114
1012,5597
1013,5801
1014,6570
1015,6396
1016,4717
1017,3398
1018,3258
1019,2681
1020,1367
1021,662
1022,435
1023,332
1024,391
1025,708
1026,2477
1027,5527
1028,6517
1029,5360
1030,5177
1031,4661
1032,5129
1033,5326
1034,5488
1035,5489
1036,5835
1037,6427
1038,6093
1039,5074
1040,3522
1041,2818
1042,2804
1043,2639
1044,1766
1045,1091
1046,739
1047,642
1048,404
1049,407
1050,753
1051,1381
1052,2046
1053,3031
1054,3842
1055,4233
1056,4416
1057,4753
1058,4525
1059,4628
1060,4546
1061,4516
1062,4468
1063,3265
1064,2608
1065,2770
1066,2661
1067,2191
1068,1293
1069,861
1070,644
1071,368
1072,293
1073,482
1074,774
1075,1052
1076,1722
1077,2561
1078,3232
1079,3630
1080,3999
1081,4075
1082,3966
1083,4083
1084,4277
1085,4368
1086,3504
1087,3575
1088,2702
1089,2007
1090,1505
1091,961
1092,476
1093,311
1094,268
1095,364
1096,789
1097,2579
1098,5546
1099,6831
1100,5884
1101,5133
1102,4518
1103,4564
1104,4925
1105,4866
1106,5118
1107,5473
1108,6276
1109,5908
1110,4239
1111,3011
1112,2644
1113,2150
1114,1539
1115,970
1116,504
1117,327
1118,254
1119,346
1120,775
1121,2568
1122,5647
1123,6824
1124,5989
1125,5419
1126,4826
1127,5003
1128,5099
1129,5264
1130,5561
1131,5721
1132,6521
1133,6019
1134,4525
1135,3385
1136,2999
1137,2642
1138,2050
1139,1211
1140,667
1141,399
1142,269
1143,412
1144,746
1145,2489
1146,5343
1147,6138
1148,5413
1149,5041
1150,4875
1151,5266
1152,5656
1153,5561
1154,5963
1155,5928
1156,5733
1157,4964
1158,4179
1159,3267
1160,2787
1161,2432
1162,1972
1163,1399
1164,919
1165,634
1166,411
1167,317
1168,252
1169,380
1170,881
1171,1094
1172,1119
1173,1674
1174,2477
1175,3245
1176,3461
1177,3213
1178,3090
1179,3068
1180,3152
1181,3023
1182,3083
1183,3010
1184,3002
1185,2533
1186,1958
1187,1390
1188,693
1189,482
1190,370
1191,341
1192,456
1193,1105
1194,2069
1195,2381
1196,2364
1197,2783
1198,3230
1199,3586
1200,3947
1201,3800
1202,4231
1203,4174
1204,4079
1205,3900
1206,3420
1207,2876
1208,2543
1209,2221
1210,2148
1211,1512
1212,917
1213,611
1214,470
1215,322
1216,299
1217,574
1218,1017
1219,1348
1220,1878
1221,2753
1222,3178
1223,3880
1224,4312
1225,4494
1226,4206
1227,4204
1228,4449
1229,4357
1230,3905
1231,3068
1232,2779
1233,689
1234,536
1235,322
